Название вакансии,URL,Название компании,Требования
Программист Javascript (Node.js),https://hh.ru/vacancy/31273029?query=Node, Cappasity Inc.," Необходимо обязательно знать: Javascript, React, Node.js. Опыт разработки и внедрения коммерческих серверных приложений в среде Unix. Понимание принципов построения масштабируемых..."
Backend разработчик,https://hh.ru/vacancy/35533799?query=Node,ООО Свекор,"Заниматься реализацией высоконагруженных сервисов. Проектировать архитектуру и разрабатывать решения по отказоустойчивости и производительности с нуля. Проводить Unit-тестирование.  Middle-skill любого языка для разработки API (Node.JS, GoLang...). Хорошее знание сетевых протоколов. Знание принципов/опыт построения высоконагруженных систем и..."
JavaScript разработчик,https://hh.ru/vacancy/35746556?query=Node,ООО Александрия,"Из интересных задач: организация досуга игроков, развлечения их, программирование квестов, гонок, работ где игроки могут фармить игровую валюту. Навыки и стек который необходим в работе: Отличные знания HTML5, CSS3, JavaScript ES6. Опыт работы с реляционными..."
Backend developer (node.js),https://hh.ru/vacancy/35546799?query=Node,ООО Тимджет,Автоматизации отельного бизнеса. С помощью наших продуктов мы стремимся. Улучшить взаимодействие между различными службами отеля. Что предлагаем: Разработку современных веб... Высшее / незаконченное высшее образование в области информатики. Знания теории программирования (алгоритмы и структуры данных). Хорошее знание JavaScript. Умение работать с...
Серверный программист (Node.js),https://hh.ru/vacancy/35851165?query=Node," Wargaming, Moscow","Разрабатывать высоконагруженное серверное сетевое программное обеспечение для игр. Разрабатывать и поддерживать гибкую и стабильную back-end систему. Участвовать в проектировании... Опыт разработки, масштабирования и оптимизации производительности backend на Node.js (наличие законченных проектов), знание ES6/ES7, понимание Promises, lambda..."
Ищем Node.js разработчика парт/фул тайм,https://hh.ru/vacancy/35615004?query=Node,ООО А-Платформа,"Взаимодействие с продуктовиками, тестировщиками, верстальщиками, разработчиками фронта. - Интересует длительное сотрудничество. Хороший опыт в Node.js (от 1.5 лет). - Желательно GraphQL, MongoDB, SQL. - Английский не нужен."
JavaScript developer (Node.js),https://hh.ru/vacancy/35713200?query=Node,ООО Викенд Эдженси,"Проектирование и ведение разработки продукта: CDP система, которая включает в себя веб-аналитику, автоматизацию интернет маркетинга и сбора данных о... Опыт работы с базами данных со сложной агрегацией и сегментированием на больших объемах операций. Сейчас используется связка MySql 8 +..."
Front-end разработчик,https://hh.ru/vacancy/35112572?query=Node,ООО Финч Мобаил,"Программировать на JavaScript. Участвовать в разработке проектов. Верстать на HTML5/CSS3. Уверенное знание нативного Javascript, ES6/7. Знание React, Redux, React Router. Опыт работы c RESTful API/Websocket. "
Frontend-разработчик,https://hh.ru/vacancy/35630375?query=Node, Doctor Smart,"Разработка новых/поддержка текущих приложений, добавление нового функционала. Разработка новых интерфейсов, декомпозиция бизнес задач и оценка трудозатрат. Поддержка и развитие... Возможность самостоятельно выстроить процессы с нуля так, как будет правильно. Уверенное знание одного из современных фреймворков (Angular 4+, React.js..."
Junior Frontend-разработчик,https://hh.ru/vacancy/35654074?query=Node, Post Scriptum - студия рекламного дизайна," Хорошие знания HTML, CSS, JavaScript (ES6+), DOM. Опыт работы с React или наличие учебных проектов на React. "
Team lead (node.js),https://hh.ru/vacancy/35875332?query=Node,ООО Кадровое решение,"Построение общей архитектуры решений (модули, взаимодействия, интеграции). Планирование работы команды (спринты, оценка трудоемкости). Взаимодействие со смежными подразделениями компании (devOps, менеджеры).  Успешный опыт управления распределенной командой разработки (включая backend и frontend), желательно в матричной структуре. Выраженные лидерские и коммуникационные навыки. "
Junior JavaScript Developer,https://hh.ru/vacancy/31244182?query=Node, Zecurion,"Решать задачи, которые ещё никем не решены. Писать автотесты web-интерфейса и модулей node.js. Разрабатывать модули на node.js.  Знание JavaScript, небольшой опыт работы с Node.js. Умение быстро разбираться в новой предметной области. Знание английского языка на уровне достаточном..."
Верстальщик на React,https://hh.ru/vacancy/35784103?query=Node, Arival,"Основные задачи — это вёрстка макетов из Figma на React и адаптация сайта к мобильным устройствам. Дополнительные инструкции: Пример кода и... Необходимые навыки: Опыт работы на ReactJs, верстка готовых компонентов. Уверенное владение Frontend: HTML5, CSS3 (чистая вёрстка, без библиотек..."
Разработчик Node.js,https://hh.ru/vacancy/35699768?query=Node,ООО Модуль,"Проектирование и разработка на Node.js и PostgreSQL. Работа в команде. Поддержка имеющейся разработки. Понимание различных вариантов архитектуры вычислений для ресурсоемких... Опыт работы разработчиком не менее 3 лет. Знание JavaScript, SQL. Умение работать с чужим кодом. Опыт в Node.js. "
Senior Front-end Developer,https://hh.ru/vacancy/35656991?query=Node, Smart Development Ltd," Свободное владение HTML и CSS. - Понимание препроцессоров CSS (Sass, Less, Stylus и т.д.). - Опыт разработки SPA. - Свободное владение JavaScript..."
Разработчик Node.js (Каршеринг),https://hh.ru/vacancy/35208105?query=Node, Lightman Solutions, Опыт в программировании от 2-х лет. Опыт в разработке на Node.js от 1 года. Суммарный опыт в разработке на...
Node.js разработчик,https://hh.ru/vacancy/35513468?query=Node,ООО Визитек,"Разрабатывать бизнес и системные сервисы с использованием Node.js, Type Script, PostgreSQL, Sequelize, Express. Разрабатывать архитектуру микросервисов. Разрабатывать библиотеки для стандартных... Опыт разработки на JavaScript и TypeScript больше 2х лет. Опыт коммерческой разработки на Node.js. Знать JavaScript, Type Script, ES..."
Middle Node Backend Developer,https://hh.ru/vacancy/35534297?query=Node,ООО АЙС,"Развитие и поддержка активного проекта. Разработка, развитие и внедрение новых архитектурных подходов. Разработка новых функциональностей продукта. Экспериментирование с различными подходами... Знание Node.js 10+. Опыт разработки Restful API. Опыт работы с веб-фреймворками Express, Koa или подобными. Опыт работы с..."
Backend разработчик NodeJS,https://hh.ru/vacancy/35535706?query=Node,ООО Авакс,"Поддержка и развитие существующих внутренних сервисов компании (NodeJS). Интеграция внутренних сервисов компании с сервисами партнеров (API). Состоятельная разработка, тестирование и... 1. Высшее техническое образование. 2. Опыт работы программистом от 2-х лет. 3. Опыт работы с чужим кодом (и опыт..."
Frontend-разработчик (node.js),https://hh.ru/vacancy/35876066?query=Node,ООО Кадровое решение,"Взаимодействие со смежными подразделениями компании (devOps, менеджеры,...). Ведение backlog, устранение тех. долга. Допуск изменений на production среду. Проведение code review... Успешный опыт в команде разработки (frontend), желательно в матричной структуре. Развитые аналитические способности. Опыт работы с высоконагруженными системами. "
Разработчик Node.js (backend),https://hh.ru/vacancy/35509097?query=Node,ООО ИММО,"Поддержка, модификация, рефакторинг имеющихся сервисов. Разработка новых сервисов. Опыт разработки на JavaScript. Опыт разработки backend приложений на каком либо языке (java, python, nodejs, go). Готовность к освоению телекоммуникационных..."
Frontend-разработчик (Middle),https://hh.ru/vacancy/35657029?query=Node,ООО Контент лайн,"Разработка клиентской части web-проектов. Сопровождение и документирование проектов. Уверенное владение JS (es6, es7). Кроссбраузерная адаптивная верстка. Опыт работы с ReactJS, Svelte/Sapper. Умение проектировать UI. "
